Joueur,Nation,Pos,Equipe,Comp,age,90,Buts,TC%,B/Tir,npxG,Cmp%,PD,PC
Yanis Begraoui,fr FRA,AT,Toulouse,fr Ligue 1,21-112,0.5,0.0,0.0,0.0,0.0,71.4,0.0,2.0
Kevin Behrens,de GER,AT,Union Berlin,de Bundesliga,31-263,2.9,0.0,50.0,0.0,0.07,63.6,0.34,1.03
Alexis Beka Beka,fr FRA,MT,Nice,fr Ligue 1,21-209,3.1,0.0,33.3,0.0,0.03,81.8,0.0,0.32
Jérémie Bela,ao ANG,DF,Clermont Foot,fr Ligue 1,29-199,3.6,0.28,66.7,0.33,0.11,65.1,0.0,0.0
Youcef Belaïli,dz ALG,MTAT,Ajaccio,fr Ligue 1,30-224,1.1,0.0,50.0,0.0,0.0,80.9,0.0,2.73
Youcef Belaïli,dz ALG,ATMT,Brest,fr Ligue 1,30-224,4.0,0.0,11.1,0.0,0.15,73.8,0.5,2.5
Haris Belkebla,dz ALG,MT,Brest,fr Ligue 1,28-269,10.8,0.09,33.3,0.17,0.03,86.6,0.0,0.56
Stefan Bell,de GER,DF,Mainz 05,de Bundesliga,31-061,8.0,0.0,0.0,0.0,0.05,80.3,0.0,0.38
Armel Bella Kotchap,de GER,DF,Southampton,eng Premier League,20-317,8.5,0.0,9.1,0.0,0.09,76.5,0.12,0.12
Raoul Bellanova,it ITA,DFAT,Inter,it Serie A,22-160,0.5,0.0,0.0,0.0,0.2,76.2,0.0,0.0
Karim Bellarabi,de GER,AT,Leverkusen,de Bundesliga,32-199,0.5,0.0,0.0,0.0,0.0,69.2,0.0,2.0
Jean-Ricner Bellegarde,fr FRA,MTDF,Strasbourg,fr Ligue 1,24-119,11.4,0.0,16.7,0.0,0.04,76.4,0.09,1.75
Héctor Bellerín,es ESP,DF,Barcelona,es La Liga,27-219,1.6,0.0,0.0,0.0,0.0,83.3,0.0,0.63
Jude Bellingham,eng ENG,MT,Dortmund,de Bundesliga,19-117,11.0,0.18,33.3,0.07,0.24,80.9,0.09,0.91
Andrea Belotti,it ITA,AT,Roma,it Serie A,28-308,3.1,0.0,60.0,0.0,0.32,72.7,0.0,1.94
Fran Beltrán,es ESP,MT,Celta Vigo,es La Liga,23-263,9.5,0.0,0.0,0.0,0.02,91.8,0.11,1.05
Wissam Ben Yedder,fr FRA,AT,Monaco,fr Ligue 1,32-073,7.0,0.71,62.5,0.25,0.36,77.2,0.29,1.0
Marco Benassi,it ITA,DF,Fiorentina,it Serie A,28-046,1.0,0.0,0.0,0.0,0.0,86.0,0.0,1.0
Ismaël Bennacer,dz ALG,MT,Milan,it Serie A,24-327,9.2,0.11,20.0,0.2,0.01,87.3,0.0,2.5
Saïd Benrahma,dz ALG,MTAT,West Ham,eng Premier League,27-075,4.6,0.0,28.6,0.0,0.15,78.8,0.22,2.39
Ramy Bensebaini,dz ALG,DF,M'Gladbach,de Bundesliga,27-191,9.9,0.4,40.0,0.2,0.23,79.0,0.0,0.61
Nabil Bentaleb,dz ALG,MT,Angers,fr Ligue 1,27-334,9.0,0.22,18.2,0.18,0.04,78.3,0.0,0.89
Rodrigo Bentancur,uy URU,MT,Tottenham,eng Premier League,25-121,10.8,0.09,42.9,0.14,0.06,86.1,0.19,0.56
Karim Benzema,fr FRA,AT,Real Madrid,es La Liga,34-309,7.0,0.71,37.5,0.13,0.63,85.6,0.14,2.0
Domenico Berardi,it ITA,AT,Sassuolo,it Serie A,28-084,3.8,0.26,23.1,0.08,0.11,67.6,0.0,2.11
Yuri Berchiche,es ESP,DF,Athletic Club,es La Liga,32-256,3.4,0.0,20.0,0.0,0.06,82.3,0.0,1.18
Álex Berenguer,es ESP,AT,Athletic Club,es La Liga,27-112,9.5,0.32,36.0,0.12,0.23,72.2,0.11,2.11
Bartosz Bereszyński,pl POL,DF,Sampdoria,it Serie A,30-104,7.8,0.0,0.0,0.0,0.0,77.1,0.0,0.26
Patrick Berg,no NOR,MTAT,Lens,fr Ligue 1,24-334,0.3,0.0,0.0,0.0,0.0,88.9,0.0,3.33
Mitchell van Bergen,nl NED,MTAT,Reims,fr Ligue 1,23-058,4.0,0.0,55.6,0.0,0.3,60.8,0.0,1.5
Mergim Berisha,de GER,AT,Augsburg,de Bundesliga,24-166,5.4,0.37,18.2,0.09,0.22,48.2,0.74,1.67
Quentin Bernard,fr FRA,DF,Auxerre,fr Ligue 1,33-109,7.0,0.0,0.0,0.0,0.0,79.2,0.14,0.86
Paul Bernardoni,fr FRA,GB,Angers,fr Ligue 1,25-189,7.0,0.0,0.0,0.0,0.0,67.5,0.0,0.0
Juan Bernat,es ESP,DF,Paris S-G,fr Ligue 1,29-237,5.5,0.18,100.0,0.33,0.07,91.2,0.0,0.73
Jason Berthomier,fr FRA,MT,Clermont Foot,fr Ligue 1,32-291,0.3,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Beto,gw GNB,AT,Udinese,it Serie A,24-266,5.3,0.94,50.0,0.31,0.77,62.2,0.0,0.94
Owen Bevan,wls WAL,DF,Bournemouth,eng Premier League,18-363,0.1,0.0,0.0,0.0,0.0,66.7,0.0,0.0
Matteo Bianchetti,it ITA,DF,Cremonese,it Serie A,29-221,7.1,0.14,60.0,0.2,0.1,79.8,0.0,0.14
Giulian Biancone,fr FRA,DF,Nott'ham Forest,eng Premier League,22-207,0.2,0.0,0.0,0.0,0.0,80.0,0.0,0.0
Pedro Bigas,es ESP,DF,Elche,es La Liga,32-039,9.2,0.0,66.7,0.0,0.01,80.0,0.0,0.0
Jaka Bijol,si SVN,DF,Udinese,it Serie A,23-261,6.4,0.31,75.0,0.5,0.05,84.6,0.0,0.16
El Bilal Touré,ml MLI,AT,Almería,es La Liga,21-021,4.7,0.64,50.0,0.3,0.55,69.9,0.21,0.85
El Bilal Touré,ml MLI,AT,Reims,fr Ligue 1,21-021,1.0,0.0,100.0,0.0,0.0,75.0,0.0,2.0
Philip Billing,dk DEN,MTAT,Bournemouth,eng Premier League,26-135,9.0,0.33,50.0,0.38,0.06,77.0,0.11,0.78
Jean-Claude Billong,cm CMR,DF,Clermont Foot,fr Ligue 1,28-300,0.3,0.0,0.0,0.0,0.0,97.0,0.0,0.0
Cristiano Biraghi,it ITA,DF,Fiorentina,it Serie A,30-053,8.8,0.0,14.3,0.0,0.02,76.1,0.0,3.98
Samuele Birindelli,it ITA,DF,Monza,it Serie A,23-097,6.0,0.0,28.6,0.0,0.12,71.8,0.17,0.83
Veljko Birmančević,rs SRB,AT,Toulouse,fr Ligue 1,24-233,0.9,0.0,0.0,0.0,0.22,72.7,0.0,0.0
Tom Bischof,de GER,AT,Hoffenheim,de Bundesliga,17-118,0.2,0.0,0.0,0.0,0.0,85.7,0.0,0.0
Yves Bissouma,ml MLI,MT,Tottenham,eng Premier League,26-055,4.9,0.0,0.0,0.0,0.02,91.5,0.0,0.61
Kristijan Bistrović,hr CRO,MT,Lecce,it Serie A,24-198,4.5,0.0,16.7,0.0,0.04,72.5,0.0,1.11
Leonardo Bittencourt,de GER,MT,Werder Bremen,de Bundesliga,28-309,3.4,0.59,60.0,0.4,0.06,78.3,0.0,1.47
Marco Bizot,nl NED,GB,Brest,fr Ligue 1,31-228,12.0,0.0,0.0,0.0,0.0,69.6,0.0,0.0
Blanco,es ESP,MT,Cádiz,es La Liga,22-093,1.8,0.0,0.0,0.0,0.0,91.2,0.0,0.56
Rubén Blanco,es ESP,GB,Marseille,fr Ligue 1,27-091,3.0,0.0,0.0,0.0,0.0,74.5,0.0,0.0
Ludovic Blas,fr FRA,MTAT,Nantes,fr Ligue 1,24-297,9.9,0.1,22.9,0.0,0.15,83.3,0.1,1.31
Janis Blaswich,de GER,GB,RB Leipzig,de Bundesliga,31-175,5.0,0.0,0.0,0.0,0.0,87.2,0.0,0.0
Miha Blažič,si SVN,DF,Angers,fr Ligue 1,29-169,7.5,0.13,50.0,0.5,0.13,90.0,0.0,0.0
Alexis Blin,fr FRA,MTDF,Lecce,it Serie A,26-038,4.4,0.0,0.0,0.0,0.0,84.8,0.0,0.23
Myron Boadu,nl NED,AT,Monaco,fr Ligue 1,21-283,0.2,5.0,100.0,1.0,3.0,33.3,0.0,5.0
Jérôme Boateng,de GER,DF,Lyon,fr Ligue 1,34-051,1.5,0.0,0.0,0.0,0.0,85.9,0.0,0.67
Kevin-Prince Boateng,gh GHA,MT,Hertha BSC,de Bundesliga,35-232,1.1,0.0,0.0,0.0,0.0,75.9,0.0,0.0
Antonin Bobichon,fr FRA,MT,Angers,fr Ligue 1,27-040,0.1,0.0,100.0,0.0,0.0,61.5,0.0,0.0
Jean-Paul Boëtius,nl NED,MT,Hertha BSC,de Bundesliga,28-216,2.8,0.0,75.0,0.0,0.18,74.1,0.0,1.07
Jeremie Boga,ci CIV,AT,Atalanta,it Serie A,25-294,0.6,0.0,100.0,0.0,0.17,83.3,0.0,3.33
Emil Bohinen,no NOR,MT,Salernitana,it Serie A,23-226,0.2,0.0,0.0,0.0,0.5,37.5,0.0,0.0
Quentin Boisgard,fr FRA,MT,Lorient,fr Ligue 1,25-221,1.8,0.56,50.0,0.17,0.22,84.1,0.0,1.67
Willy Boly,ci CIV,DF,Nott'ham Forest,eng Premier League,31-263,0.7,0.0,0.0,0.0,0.0,69.6,0.0,0.0
Giacomo Bonaventura,it ITA,MT,Fiorentina,it Serie A,33-063,7.7,0.13,15.0,0.05,0.14,86.4,0.0,0.91
Federico Bonazzoli,it ITA,AT,Salernitana,it Serie A,25-156,6.7,0.15,31.6,0.05,0.24,78.2,0.15,0.9
Warren Bondo,fr FRA,MT,Monza,it Serie A,19-039,0.4,0.0,0.0,0.0,0.0,96.0,0.0,2.5
Theo Bongonda,cd COD,MT,Cádiz,es La Liga,26-338,3.1,0.0,0.0,0.0,0.1,77.5,0.0,0.32
Kevin Bonifazi,it ITA,DF,Bologna,it Serie A,26-158,4.6,0.0,0.0,0.0,0.02,85.9,0.0,0.22
Leonardo Bonucci,it ITA,DF,Juventus,it Serie A,35-176,5.6,0.18,100.0,1.0,0.0,85.7,0.0,0.18
Neto Borges,br BRA,DF,Clermont Foot,fr Ligue 1,26-041,10.2,0.0,0.0,0.0,0.06,78.2,0.0,1.47
Yvandro Borges Sanches,lu LUX,MTAT,M'Gladbach,de Bundesliga,18-153,0.2,0.0,0.0,0.0,0.0,71.4,0.0,0.0
Sebastiaan Bornauw,be BEL,DF,Wolfsburg,de Bundesliga,23-216,4.1,0.0,0.0,0.0,0.0,80.6,0.0,0.0
Rafael Borré,co COL,AT,Eint Frankfurt,de Bundesliga,27-039,4.0,0.25,22.2,0.0,0.23,73.7,0.25,0.75
Erik Botheim,no NOR,AT,Salernitana,it Serie A,22-287,2.9,0.34,25.0,0.25,0.1,62.1,0.34,1.03
Sven Botman,nl NED,DF,Newcastle Utd,eng Premier League,22-285,9.0,0.0,28.6,0.0,0.07,86.5,0.0,0.78
Kenji-Van Boto,mg MAD,DF,Auxerre,fr Ligue 1,26-231,1.0,0.0,0.0,0.0,0.0,76.7,0.0,0.0
Kouamé Botué,bf BFA,AT,Ajaccio,fr Ligue 1,20-078,1.8,0.0,0.0,0.0,0.22,61.8,0.0,0.56
Hicham Boudaoui,dz ALG,MT,Nice,fr Ligue 1,23-031,1.0,0.0,0.0,0.0,0.0,89.2,0.0,0.0
Sofiane Boufal,ma MAR,ATMT,Angers,fr Ligue 1,29-037,7.9,0.38,33.3,0.05,0.15,76.8,0.38,2.78
Wassim Boullif,es ESP,DF,Espanyol,es La Liga,17-263,0.4,0.0,0.0,0.0,0.0,50.0,0.0,0.0
Yassine Bounou,ma MAR,GB,Sevilla,es La Liga,31-202,9.5,0.0,0.0,0.0,0.0,73.1,0.0,0.0
Ismaëlben Boura,fr FRA,DF,Lens,fr Ligue 1,22-071,0.6,0.0,50.0,0.0,0.0,80.0,0.0,1.67
Mehdi Bourabia,ma MAR,MT,Spezia,it Serie A,31-078,10.0,0.0,0.0,0.0,0.02,81.3,0.0,1.2
Benjamin Bourigeaud,fr FRA,MTAT,Rennes,fr Ligue 1,28-283,10.2,0.0,26.7,0.0,0.11,73.7,0.29,3.63
Edoardo Bove,it ITA,MT,Roma,it Serie A,20-161,0.3,0.0,50.0,0.0,1.0,69.2,0.0,0.0
Jarrod Bowen,eng ENG,ATMT,West Ham,eng Premier League,25-308,10.9,0.18,15.4,0.04,0.18,69.1,0.0,1.47
Lucas Boyé,ar ARG,AT,Elche,es La Liga,26-238,5.7,0.18,37.5,0.13,0.12,79.5,0.35,0.7
Domagoj Bradarić,hr CRO,DF,Salernitana,it Serie A,22-318,2.5,0.0,0.0,0.0,0.0,78.8,0.0,1.2
Bilal Brahimi,dz ALG,AT,Nice,fr Ligue 1,22-224,2.1,0.0,0.0,0.0,0.05,73.3,0.48,1.43
Martin Braithwaite,dk DEN,ATMT,Espanyol,es La Liga,31-141,5.6,0.54,43.8,0.19,0.38,67.0,0.18,0.54
Juan Brandáriz,es ESP,DF,Almería,es La Liga,23-236,3.3,0.0,0.0,0.0,0.03,89.4,0.0,0.3
Julian Brandt,de GER,ATMT,Dortmund,de Bundesliga,26-175,8.1,0.25,83.3,0.33,0.11,73.6,0.25,2.35
Darko Brašanac,rs SRB,MT,Osasuna,es La Liga,30-254,5.1,0.2,60.0,0.2,0.08,83.5,0.2,0.39
Lilian Brassier,fr FRA,DF,Brest,fr Ligue 1,22-356,10.3,0.0,20.0,0.0,0.01,78.6,0.0,0.58
Claudio Bravo,cl CHI,GB,Betis,es La Liga,39-194,1.0,0.0,0.0,0.0,0.0,56.3,0.0,0.0
Josip Brekalo,hr CRO,MTAT,Wolfsburg,de Bundesliga,24-123,2.9,0.0,50.0,0.0,0.03,72.6,0.34,1.72
Gleison Bremer,br BRA,DF,Juventus,it Serie A,25-220,9.5,0.11,12.5,0.13,0.08,91.3,0.0,0.32
Armando Broja,al ALB,AT,Chelsea,eng Premier League,21-044,2.0,0.5,80.0,0.2,0.25,54.8,0.0,0.0
Dylan Bronn,tn TUN,DF,Salernitana,it Serie A,27-127,7.5,0.0,20.0,0.0,0.07,83.1,0.0,0.4
Marcelo Brozović,hr CRO,MT,Inter,it Serie A,29-342,6.3,0.32,40.0,0.2,0.14,84.6,0.0,0.63
Cédric Brunner,ch SUI,DF,Schalke 04,de Bundesliga,28-249,7.5,0.0,0.0,0.0,0.03,72.0,0.0,0.8
Jacob Bruun Larsen,dk DEN,AT,Hoffenheim,de Bundesliga,24-035,1.5,0.0,33.3,0.0,0.2,62.5,0.0,0.67
Andreas Bruus,dk DEN,DF,Troyes,fr Ligue 1,23-281,4.6,0.0,0.0,0.0,0.0,69.1,0.22,1.09
Joe Bryan,eng ENG,DF,Nice,fr Ligue 1,29-037,1.7,0.0,0.0,0.0,0.0,82.2,0.0,0.59
Lee Buchanan,eng ENG,DF,Werder Bremen,de Bundesliga,21-231,2.5,0.4,25.0,0.25,0.12,75.0,0.0,0.8
Ante Budimir,hr CRO,AT,Osasuna,es La Liga,31-094,4.6,0.22,21.4,0.07,0.37,59.5,0.0,0.87
Emi Buendía,ar ARG,MTAT,Aston Villa,eng Premier League,25-303,5.7,0.18,25.0,0.08,0.3,78.4,0.0,1.58
Hugo Bueno,es ESP,DF,Wolves,eng Premier League,20-036,2.0,0.0,0.0,0.0,0.0,87.9,0.5,2.0
Santiago Bueno,uy URU,DF,Girona,es La Liga,23-349,11.0,0.0,16.7,0.0,0.05,85.9,0.09,0.27
Adam Buksa,pl POL,AT,Lens,fr Ligue 1,26-104,0.7,0.0,0.0,0.0,0.0,47.1,0.0,0.0
Marcin Bułka,pl POL,GB,Nice,fr Ligue 1,23-020,2.0,0.0,0.0,0.0,0.0,77.6,0.0,0.0
Marius Bülter,de GER,ATMT,Schalke 04,de Bundesliga,29-209,9.6,0.31,30.8,0.08,0.06,61.4,0.0,1.04
Cristian Buonaiuto,it ITA,MTAT,Cremonese,it Serie A,29-299,1.5,0.0,16.7,0.0,0.13,68.1,0.0,1.33
Alessandro Buongiorno,it ITA,DF,Torino,it Serie A,23-140,7.1,0.0,0.0,0.0,0.03,84.6,0.0,0.14
Delano Burgzorg,nl NED,AT,Mainz 05,de Bundesliga,23-351,2.0,0.0,50.0,0.0,0.05,75.6,0.0,0.0
Jonathan Burkardt,de GER,ATMT,Mainz 05,de Bundesliga,22-105,3.7,0.0,30.0,0.0,0.35,71.2,0.54,1.08
Oliver Burke,sct SCO,AT,Werder Bremen,de Bundesliga,25-200,1.8,1.11,66.7,0.33,0.39,75.0,0.0,2.78
Dan Burn,eng ENG,DF,Newcastle Utd,eng Premier League,30-168,10.6,0.0,25.0,0.0,0.05,83.6,0.0,0.38
Maxime Busi,be BEL,DF,Reims,fr Ligue 1,23-010,5.6,0.0,0.0,0.0,0.0,69.8,0.18,0.36
Sergio Busquets,es ESP,MT,Barcelona,es La Liga,34-100,7.7,0.0,50.0,0.0,0.01,89.7,0.0,0.65
Jamie Bynoe-Gittens,eng ENG,ATMT,Dortmund,de Bundesliga,18-077,1.8,0.56,50.0,0.25,0.61,80.0,0.0,0.56
Juan Cabal,co COL,DF,Hellas Verona,it Serie A,21-289,0.6,0.0,0.0,0.0,0.0,66.7,0.0,1.67
Rémy Cabella,fr FRA,MT,Lille,fr Ligue 1,32-230,5.1,0.59,100.0,0.38,0.33,83.6,0.78,3.33
Jimmy Cabot,fr FRA,DF,Lens,fr Ligue 1,28-189,5.7,0.0,20.0,0.0,0.07,73.9,0.18,2.81
Leandro Cabrera,uy URU,DF,Espanyol,es La Liga,31-129,11.0,0.0,25.0,0.0,0.11,73.9,0.0,0.18
Liberato Cacace,nz NZL,DF,Empoli,it Serie A,22-027,0.4,0.0,0.0,0.0,0.0,72.7,0.0,2.5
Anthony Caci,fr FRA,DF,Mainz 05,de Bundesliga,25-115,4.0,0.25,50.0,0.5,0.03,74.7,0.0,0.5
Cafú,pt POR,MT,Nott'ham Forest,eng Premier League,29-240,0.1,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Moisés Caicedo,ec ECU,MT,Brighton,eng Premier League,20-356,10.8,0.09,44.4,0.11,0.05,86.9,0.0,1.02
Tom Cairney,sct SCO,MT,Fulham,eng Premier League,31-277,2.5,0.0,0.0,0.0,0.16,85.8,0.0,1.2
Jens Cajuste,se SWE,MT,Reims,fr Ligue 1,23-075,3.8,0.0,40.0,0.0,0.05,79.8,0.26,0.53
Cala,es ESP,DFMT,Cádiz,es La Liga,32-332,0.2,0.0,0.0,0.0,0.0,25.0,0.0,0.0
Davide Calabria,it ITA,DF,Milan,it Serie A,25-322,5.8,0.0,0.0,0.0,0.05,80.4,0.17,1.03
Mattia Caldara,it ITA,DF,Spezia,it Serie A,28-172,4.3,0.0,0.0,0.0,0.07,80.5,0.0,0.23
Luca Caldirola,it ITA,DF,Monza,it Serie A,31-265,6.9,0.0,0.0,0.0,0.04,89.0,0.0,0.29
Fernando Calero,es ESP,DF,Espanyol,es La Liga,27-040,7.7,0.0,0.0,0.0,0.01,80.9,0.0,0.39
Duje Ćaleta-Car,hr CRO,DF,Southampton,eng Premier League,26-037,3.5,0.0,50.0,0.0,0.09,85.8,0.0,0.29
Duje Ćaleta-Car,hr CRO,DF,Marseille,fr Ligue 1,26-037,0.1,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Hakan Çalhanoğlu,tr TUR,MT,Inter,it Serie A,28-258,8.4,0.12,23.5,0.06,0.07,83.3,0.24,2.26
Kerim Calhanoglu,de GER,DFMT,Schalke 04,de Bundesliga,20-059,0.1,0.0,0.0,0.0,0.0,50.0,0.0,0.0
Daniel Caligiuri,it ITA,DFMT,Augsburg,de Bundesliga,34-282,2.9,0.34,40.0,0.2,0.1,69.6,0.0,0.69
Dominic Calvert-Lewin,eng ENG,AT,Everton,eng Premier League,25-222,2.1,0.48,33.3,0.33,0.19,61.8,0.0,0.0
Mahdi Camara,fr FRA,MTDF,Brest,fr Ligue 1,24-116,3.9,0.0,0.0,0.0,0.0,88.1,0.0,0.0
Mohamed Camara,gn GUI,MT,Roma,it Serie A,25-238,1.9,0.0,0.0,0.0,0.05,71.9,0.0,0.53
Mohamed Camara,ml MLI,MT,Monaco,fr Ligue 1,22-291,6.9,0.0,71.4,0.0,0.06,89.0,0.0,0.72
Ousmane Camara,fr FRA,DF,Angers,fr Ligue 1,19-232,2.0,0.0,0.0,0.0,0.0,92.9,0.0,0.0
Eduardo Camavinga,fr FRA,MT,Real Madrid,es La Liga,19-348,4.7,0.0,0.0,0.0,0.04,92.0,0.0,1.28
Nicolò Cambiaghi,it ITA,MTAT,Empoli,it Serie A,21-300,1.8,0.0,33.3,0.0,0.0,67.3,0.0,0.56
Andrea Cambiaso,it ITA,DF,Bologna,it Serie A,22-246,8.6,0.0,0.0,0.0,0.02,77.9,0.23,1.28
Axel Camblan,fr FRA,AT,Brest,fr Ligue 1,19-055,0.2,0.0,0.0,0.0,0.0,100.0,0.0,5.0
Sergio Camello,es ESP,ATMT,Rayo Vallecano,es La Liga,21-256,8.3,0.24,22.7,0.09,0.3,84.6,0.24,0.96
Chem Campbell,wls WAL,ATMT,Wolves,eng Premier League,19-298,0.8,0.0,0.0,0.0,0.13,71.9,0.0,0.0
Emre Can,de GER,MTDF,Dortmund,de Bundesliga,28-285,3.5,0.0,0.0,0.0,0.06,87.0,0.0,0.0
Sergio Canales,es ESP,MTAT,Betis,es La Liga,31-250,6.5,0.15,40.0,0.2,0.08,76.8,0.0,3.08
Matteo Cancellieri,it ITA,AT,Lazio,it Serie A,20-254,1.1,0.0,50.0,0.0,0.09,59.3,0.0,1.82
João Cancelo,pt POR,DF,Manchester City,eng Premier League,28-150,10.2,0.2,20.0,0.2,0.03,86.2,0.1,0.69
Antonio Candreva,it ITA,DFMT,Salernitana,it Serie A,35-238,10.1,0.1,25.0,0.06,0.1,73.6,0.0,1.88
Sergi Canós,es ESP,DFAT,Brentford,eng Premier League,25-264,0.6,0.0,0.0,0.0,0.0,66.7,0.0,1.67
Ander Capa,es ESP,AT,Athletic Club,es La Liga,30-258,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0
Pierrick Capelle,fr FRA,MTDF,Angers,fr Ligue 1,35-192,4.2,0.0,37.5,0.0,0.17,80.2,0.24,0.71
Étienne Capoue,fr FRA,MT,Villarreal,es La Liga,34-105,7.5,0.0,25.0,0.0,0.16,86.7,0.0,0.4
Gianluca Caprari,it ITA,ATMT,Monza,it Serie A,29-086,8.4,0.12,23.5,0.06,0.18,81.6,0.12,1.31
Francesco Caputo,it ITA,AT,Sampdoria,it Serie A,35-079,8.0,0.13,30.8,0.08,0.16,74.1,0.0,0.88
Maxence Caqueret,fr FRA,MT,Lyon,fr Ligue 1,22-251,8.5,0.0,37.5,0.0,0.05,85.8,0.12,1.53
Andrea Carboni,it ITA,DF,Monza,it Serie A,21-262,1.7,0.0,100.0,0.0,0.06,80.0,0.0,0.0
Valentin Carboni,it ITA,DF,Inter,it Serie A,17-233,0.0,0.0,0.0,0.0,0.0,85.7,0.0,0.0
Isaac Carcelen,es ESP,DF,Cádiz,es La Liga,29-184,3.3,0.0,0.0,0.0,0.0,82.4,0.0,0.3
Irvin Cardona,fr FRA,AT,Brest,fr Ligue 1,25-077,2.4,0.0,50.0,0.0,0.13,63.5,0.0,0.83
Carlos,br BRA,DF,Monza,it Serie A,23-290,9.6,0.1,38.5,0.08,0.09,83.5,0.0,0.31
Diego Carlos,br BRA,DF,Aston Villa,eng Premier League,29-223,2.0,0.0,0.0,0.0,0.15,82.9,0.0,0.0
Juan Carlos,es ESP,GB,Girona,es La Liga,34-277,10.0,0.0,0.0,0.0,0.0,85.2,0.0,0.0
José Carlos Lazo,es ESP,MTAT,Almería,es La Liga,26-250,0.2,0.0,50.0,0.0,0.5,75.0,0.0,0.0
José Carlos Lazo,es ESP,MTAT,Espanyol,es La Liga,26-250,0.9,0.0,0.0,0.0,0.11,70.6,0.0,1.11
Carmona,es ESP,DF,Sevilla,es La Liga,20-268,4.9,0.41,40.0,0.4,0.22,80.7,0.2,0.41
Marco Carnesecchi,it ITA,GB,Cremonese,it Serie A,22-115,1.0,0.0,0.0,0.0,0.0,66.7,0.0,0.0
Yannick Carrasco,be BEL,DFMT,Atlético Madrid,es La Liga,29-050,6.2,0.16,37.5,0.06,0.16,81.8,0.0,1.77
Dani Carvajal,es ESP,DF,Real Madrid,es La Liga,30-286,7.8,0.0,0.0,0.0,0.01,87.3,0.13,0.77
Fabio Carvalho,pt POR,MTAT,Liverpool,eng Premier League,20-055,3.7,0.54,36.4,0.18,0.35,82.4,0.0,0.27
Matis Carvalho,pt POR,GB,Montpellier,fr Ligue 1,23-179,1.5,0.0,0.0,0.0,0.0,35.8,0.0,0.0
William Carvalho,pt POR,MT,Betis,es La Liga,30-200,8.8,0.23,41.7,0.17,0.2,88.3,0.11,0.45
Nicolò Casale,it ITA,DF,Lazio,it Serie A,24-252,3.6,0.0,0.0,0.0,0.03,90.9,0.0,0.0
Casals,es ESP,ATMT,Girona,es La Liga,17-139,0.1,0.0,0.0,0.0,0.0,64.3,0.0,0.0
Casemiro,br BRA,MT,Manchester Utd,eng Premier League,30-243,4.9,0.2,28.6,0.14,0.06,81.5,0.2,1.02
Casemiro,br BRA,MT,Real Madrid,es La Liga,30-243,0.1,0.0,0.0,0.0,0.0,85.7,0.0,0.0
Matty Cash,pl POL,DF,Aston Villa,eng Premier League,25-078,8.7,0.0,20.0,0.0,0.01,76.7,0.0,0.8
Timothy Castagne,be BEL,DF,Leicester City,eng Premier League,26-323,10.2,0.1,66.7,0.17,0.05,82.3,0.2,0.59
Michele Castagnetti,it ITA,MT,Cremonese,it Serie A,32-301,2.4,0.0,0.0,0.0,0.04,69.0,0.0,3.33
Koen Casteels,be BEL,GB,Wolfsburg,de Bundesliga,30-121,11.0,0.0,0.0,0.0,0.0,80.2,0.0,0.0
Valentín Castellanos,ar ARG,AT,Girona,es La Liga,24-021,10.1,0.2,18.2,0.09,0.17,67.9,0.0,0.79
Jean-Charles Castelletto,cm CMR,DF,Nantes,fr Ligue 1,27-271,8.3,0.0,25.0,0.0,0.02,85.2,0.0,0.12
Samu Castillejo,es ESP,ATMT,Valencia,es La Liga,27-279,5.7,0.35,20.0,0.13,0.18,82.7,0.0,1.58
Jonny Castro,es ESP,DF,Wolves,eng Premier League,28-235,10.4,0.0,12.5,0.0,0.02,85.4,0.0,0.19
Danilo Cataldi,it ITA,MT,Lazio,it Serie A,28-079,7.2,0.0,0.0,0.0,0.0,83.5,0.0,1.11
Catena,es ESP,DF,Rayo Vallecano,es La Liga,27-361,11.0,0.09,66.7,0.33,0.04,83.9,0.09,0.18
Yoann Cathline,fr FRA,AT,Lorient,fr Ligue 1,20-094,2.4,0.42,40.0,0.1,0.21,67.2,0.0,0.42
Maximiliano Caufriez,be BEL,DF,Clermont Foot,fr Ligue 1,25-250,6.8,0.0,0.0,0.0,0.01,89.1,0.0,0.15
Edinson Cavani,uy URU,AT,Valencia,es La Liga,35-252,4.6,0.87,36.4,0.18,0.22,76.0,0.22,0.87
Dani Ceballos,es ESP,MT,Real Madrid,es La Liga,26-078,1.9,0.0,50.0,0.0,0.05,93.8,0.53,4.21
Federico Ceccherini,it ITA,DF,Hellas Verona,it Serie A,30-166,3.8,0.0,0.0,0.0,0.0,78.2,0.0,0.79
Assan Ceesay,gm GAM,AT,Lecce,it Serie A,28-221,8.5,0.35,25.0,0.19,0.28,68.1,0.0,0.24
Emil Ceide,no NOR,AT,Sassuolo,it Serie A,21-051,2.0,0.0,0.0,0.0,0.1,86.3,0.0,1.5
Zeki Çelik,tr TUR,DF,Roma,it Serie A,25-249,4.9,0.0,50.0,0.0,0.02,74.5,0.0,1.84
